RepID,RepIDurl,ExpID,ExpName,Purpose,Conclusion,Comments,Keywords,ManuscriptUrl,Manuscripts,Design,Design_FCS_Count,MifScore,PResearcher,PInvestigator,UploadAuth,ExpDates,ExpStart,ExpEnd,UploadDate,LastUpdate,Organizations,Funding,QualControl,QualControlUrl,hasWSP,Attachments,Event_total_K,Event_mean_K,FCS_count,FCS_total_MB,FCS_mean_MB,FCSVers,Cytometer
FR-FCM-Z23T,FR-FCM-Z23T,2173,Cell generation dynamics underlying naive T cell homeostasis in adult humans,The purpose of these experiments was to investigate phosphorylation responses to stimulation in CD31+ and CD31- CD4+ Naive T cells.,None,,,,,,,16,Axel Olin,Axel Olin,Axel Olin,2015-10-01 - 2015-11-01,2015-10-01,2015-11-01,2019-05-01,2019-05-01,None,Not disclosed,None,,,,6967.158,108.862,64,4521.266,70.645,FCS3.0(64),DVSSCIENCES-CYTOF-6.0.626(64)
FR-FCM-Z23V,FR-FCM-Z23V,2175,Comparison of the Helios wide bore and narrow bore injectors in multi-site mass cytometry studies on PBMC samples (debarcoded),To evaluate data quality and inter-instrument variability using the Helios wide bore injector compared to the narrow bore injector in multi-site mass cytometry studies,The modified WB+CAS acquisition protocol reduces inter-instrument variability and improves data quality resulting in more comparable data across instruments in multi-site mass cytometry studies. Relative performance improvements seen with the WB injector compared to the NB injector are both somewhat instrument and sample specific. Some Helios instruments may see a much larger change in performance and data quality than others,"Please note that these samples exhibit low and somewhat heterogeneous Ir signal intensity due to inadequate permeabilization of the cells prior to Ir intercalation. However, cells could be robustly identified based on sample-specific CD45 stain, and the cells associated with each donor sample have been unambiguously identified and demultiplexed based on their respective CD45 barcode staining.",[mass cytometry][CyTOF][Standardization][reproducibility][Helios][Helios Injector],,,"[Sample Type = SiteA(12), SiteB(12), SiteC(12), SiteD(12), SiteE(12), SiteF(12), SiteG(12), SiteH(12), SiteI(12), SiteJ(12)], [Conditions = NB+H20 protocol(60), WB+CAS protocol(60)]",120,65,Adeeb Rahman,Adeeb Rahman,El-ad David Amir,2018-05-01 - 2019-03-22,2018-05-01,2019-03-22,2019-05-01,2024-04-01,"Icahn School of Medicine at Mount Sinai , New York, NY (United States of America)","This study includes data generated through the NCI Cancer Immune Monitoring and Analysis Centers (CIMAC) CyTOF Assay Working Group and the Human Immunology Project Consortium (HIPC) Samples and Assays Subcommittee and was partially supported by U19AI118610, U19AI128949, U19AI118626 and U24CA224319",We prepared a large batch of cells comprised of a pool of CD45 barcoded PBMCs from 5 independent donors stained with the same immunophenotyping panel. Aliquots of these stained cells were distributed to 7 institutions and acquired on 10 different Helios instruments using a shared staining and sample acquisition protocol. Each sample was spiked with EQ normalization beads prior to acquisition.,,,,5208.75,43.406,120,1351.97,11.266,FCS3.0(120),"DVSSCIENCES-CYTOF-1.0.0(66), DVSSCIENCES-CYTOF-6.3.119(54)"
FR-FCM-Z23Y,FR-FCM-Z23Y,2145,Label-free analysis of red blood cell storage lesions with image flow cytometry,"The template, developed in the IDEAS software package, distinguishes between healthy RBCs (discocytes) and unhealthy, degraded RBCs (spheroechinocytes) and calculates the relative population for each. The input to the template are images of RBCs suspended in PBS that are captured on the Amnis ImageStream MkII image flow cytometer.",None,,,[31294512],http://www.ncbi.nlm.nih.gov/pubmed/31294512,,,15,Ruben Pinto,Ruben Pinto,Ruben Pinto,2019-04-30 -,2019-04-30,,2019-04-01,2019-05-01,None,Not disclosed,None,,,"Ruben_bag_2_day_16__feb_4_2016_2.cif, Ruben_bag_2_day_16__feb_4_2016_2.daf, Ruben_bag_2_day_16__feb_4_2016_2.rif",100,100,1,13.736,13.736,FCS3.0(1),Image Stream(1)
FR-FCM-Z23Z,FR-FCM-Z23Z,2144,Impact of the backbone composition on the merging quality in multi-tube cytometry experiments : mass cytometry part,"Several computational approaches were developed in flow and mass cytometry to combine cell phenotypic information from different cytometric profiles. In such, multi-tube cytometry experiments, investigators use antibody panels composed of cell markers specific to each panel or common to the different panels. These cell merging can be performed at the cell or cell-population levels. However, no methodology has been proposed so far for defining the set of common markers in multi-tube cytometry experiments.","At the cellular level, we demonstrated that the presence of lineage and differentiation/memory markers in the backbone is crucial for effective merging. Furthermore, the inclusion of functional proteins, such as cytokines, is needed to correctly predict the co-expression of other functional proteins. At the cell-population level, presence of functional protein was not mandatory to obtain effective merging.",,[high-dimensional cytometry][backbone design][multi-tube cytometry],,,"[Sample Type = A+B(3), A+D(2), C+D(3), E(3)]",11,81,Nicolas Tchitchek,Nicolas Tchitchek,Nicolas Tchitchek,2017-05-10 - 2018-05-10,2017-05-10,2018-05-10,2019-04-01,2019-05-01,"CEA-Université Paris Sud 11-INSERM U1184,  Immunology of Viral Infections and Autoimmune Diseases (IMVA), Fontenay-aux-Roses,  (France)
                    <br />
                    IDMIT, Fontenay-Aux-Roses,  (France)",The IDMIT infrastructure is supported by the French government “Programme d’Investissements d’Avenir” (PIA) under Grant ANR-11-INBS-0008 and grant ANR-10-EQPX-02-01 (FlowCyTech facility).,"Data were acquired using EQTM Four-Element Calibration Beads, normalized using Rachel Finck’s MATLAB normalizer, and concatenated using the FCS file concatenation tool (Cytobank, Mountain View, CA).",,,,87.077,7.916,11,12.218,1.111,FCS3.0(11),(11)
FR-FCM-Z244,FR-FCM-Z244,2180,Identification of disease-associated immune signatures following bone marrow transplantation,Comprehensively monitor immune composition across time and identify disease-associated immune signatures following bone marrow transplantation using the described reference panel.,Patients experiencing GvHD displayed a reduced frequency of CD27- B cells and lower frequencies of naive CD4+ T cells.,,[CyTOF][Bone marrow transplantation][clinical trial][clinical],[31315057],http://www.ncbi.nlm.nih.gov/pubmed/31315057,"[Timepoints = day_30(15), day_90(13)], [Sample Type = PBMC(28)], [Conditions = unstimulated(28)]",28,54,Felix Hartmann,Felix Hartmann,Felix Hartmann,2018-01-01 - 2018-12-31,2018-01-01,2018-12-31,2019-05-01,2019-07-01,"Stanford University, Stanford,  (USA)",Not disclosed,Samples are matched across various timepoints (days 30 and 90) post bone marrow transplantation,,,,5234.587,186.95,28,1318.028,47.072,FCS3.0(28),DVSSCIENCES-CYTOF-6.7.1014(28)
FR-FCM-Z246,FR-FCM-Z246,2182,Immune Clock of Pregnancy - Controls,"Whole blood samples from a healthy volunteer, unstimulated or stimulated with IFNa and LPS, taken along across all the plates of the main cohort from Aghaeepour et al. ""An immune clock of human pregnancy"".",None,See FR-FCM-ZY3Q for the patient data.,,[31633883],http://www.ncbi.nlm.nih.gov/pubmed/31633883,,,29,Sofie Van Gassen,Brice Gaudilliere,Sofie Van Gassen,2015-12-01 -,2015-12-01,,2019-05-01,2019-11-01,None,Not disclosed,None,,WSP,"170112_manualGates.Rdata, manual_170112.wsp",4020.53,105.803,38,843.662,22.202,FCS3.0(38),DVSSCIENCES-CYTOF(38)
FR-FCM-Z247,FR-FCM-Z247,2183,Immune Clock of Pregnancy Validation - Controls,"Whole blood samples from 2 healthy volunteers, taken along across all the plates of the validation cohort from Aghaeepour et al. ""An immune clock of human pregnancy"".",None,See FR-FCM-ZY3R for the patient data.,,[31633883],http://www.ncbi.nlm.nih.gov/pubmed/31633883,,,29,Sofie Van Gassen,Brice Gaudilliere,Sofie Van Gassen,2015-12-01 -,2015-12-01,,2019-05-01,2019-11-01,None,Not disclosed,None,,WSP,"manual.RDS, manual.wsp",6193.423,154.836,40,1299.56,32.489,FCS3.0(40),DVSSCIENCES-CYTOF(40)
FR-FCM-Z248,FR-FCM-Z248,2184,Gaudilliere et al_AES - Controls,"Whole blood samples from a healthy volunteer, unstimulated or stimulated with IFNa and LPS, taken along across all the plates of the cohort from Aghaeepour et al. ""Deep Immune Profiling of an Arginine-Enriched Nutritional Intervention in Patients Undergoing Surgery"", pregated on CD45+ CD66-.",None,See FR-FCM-ZZVT for the patient data.,,[31633883],http://www.ncbi.nlm.nih.gov/pubmed/31633883,,,29,Sofie Van Gassen,Brice Gaudilliere,Sofie Van Gassen,2013-10-29 -,2013-10-29,,2019-05-01,2019-11-01,None,Not disclosed,None,,WSP,"170111_manualCS.Rdata, manual_170111.wsp",973.08,44.231,22,204.233,9.283,FCS3.0(22),DVSSCIENCES-CYTOF(22)
FR-FCM-Z249,FR-FCM-Z249,2185,Reproducible assessments of immune composition across independent analyses,To assess the reliability and robustness of this immunophenotypic antibody panel in obtaining comprehensive population enumeration and to assess the robustness of the selected panel across different research institutions.,We found strong agreement (r = 0.96) between the manually gated immune cell populations from the two independent runs.,Panel 1 (Center 1) is lacking the antibody for CD117,[multi-center][mass cytometry][CyTOF][Standardization],[31315057],http://www.ncbi.nlm.nih.gov/pubmed/31315057,"[Sample Type = PBMC(10)], [Conditions = Center_1(5), Center_2(5)]",10,65,Felix Hartmann,Felix Hartmann,Felix Hartmann,2017-09-01 - 2018-12-31,2017-09-01,2018-12-31,2019-05-01,2019-07-01,"Stanford University, Stanford, CA (USA)",Not disclosed,None,,,example_gating.xml,1800.163,180.016,10,249.506,24.951,FCS3.0(10),"DVSSCIENCES-CYTOF-6.0.626(5), DVSSCIENCES-CYTOF-6.5.358(5)"
FR-FCM-Z24A,FR-FCM-Z24A,2186,Standardization of flow cytometric immunophenotyping for hematological malignancies: the FranceFlow group experience,"Flow cytometry is broadly used for the identification, characterization and monitoring of haematological malignancies. However, the use of clinical flow cytometry is restricted by its lack of reproducibility across multiple centres. Since 2006 the EuroFlow consortium has been developing a standardized procedure detailing the whole process from instrument settings to data analysis. The FranceFlow group was created in 2010 with the intention to educate participating centres in France about the standardised instrument setting protocol (SOP) developed by the EuroFlow consortium and to organise several rounds of quality controls (QCs) in order to evaluate the feasibility of its application and its results. Here, we report the 5 year experience of the FranceFlow group and the results of the seven QCs of 23 instruments, involving up to 19 centres, in France and in Belgium.","The FranceFlow group demonstrates that both the distribution and applicability of the SOP have been successful. Inter-center reproducibility was evaluated using both normal and pathological blood samples. Coefficients of variation (CVs) across the centers were <7% for the percentages of cell subsets and <30% for the MFIs of the markers tested. Intra-center reproducibility provided similar results with CVs of <3% for the percentages of the majority of cell subsets, and CVs of <20% for the MFI values for the majority of markers. Altogether, the FranceFlow group show that the 19 participating labs might be considered as one unique laboratory with 23 identical flow cytometers able to reproduce identical results. Therefore, SOP significantly improves reproducibility of clinical flow in hematology and opens new avenues by providing a robust companion diagnostic tool for clinical trials in hematology.",,[Quality control][interlaboratory comparisons],,,,,25,Ludovic LHERMITTE,Ludovic LHERMITTE,Ludovic LHERMITTE,2010-01-01 - 2017-12-30,2010-01-01,2017-12-30,2019-06-01,2024-04-01,"FranceFlow group, Paris,  (France)",Not disclosed,None,,,,32356.989,65.105,497,1643.241,3.306,"FCS3.0(468), FCS3.1(29)","FACSCantoII(313), (159), FACSCantoII  CANTO1 (FACSCantoII)(7), FACSCanto #1 (FACSCantoII)(6), FACSCanto #2 (FACSCantoII)(6), FACSCantoII  CANTO 2 (FACSCantoII)(6)"
FR-FCM-Z24B,FR-FCM-Z24B,2187,CyTOF analysis of CLA+ peripheral blood mononuclear cells,Assess the phenotypic heterogeneity of skin-tropic CLA+ leukocytes in PBMC from 5 donors.,None,,,,,,,15,Daniel Campbell,Daniel Campbell,Daniel Campbell,2015-12-16 -,2015-12-16,,2019-06-01,2019-06-01,None,Not disclosed,None,,,,3714.506,742.901,5,2028.606,405.721,FCS3.0(5),DVSSCIENCES-CYTOF-6.1.31(5)
FR-FCM-Z24C,FR-FCM-Z24C,2188,The simplified human intestinal microbiota (SIHUMIx) shows high structural and functional resistance against changing transit times in in vitro bioreactors,"The gut microbiota plays an important role in human health since it is involved in many metabolic interactions with the host. Among the human population, different intestinal transit times were observed and are associated with changes in gut microbiota composition. However, effects on structure and function are not fully understood. Hence, we cultivated the model community SIHUMIx in bioreactors in order to determine the effects of varying transit times on the community structure and function.","Although simplified bacterial communities are expected to be less stable against environmental stressors, SIHUMIx showed remarkable structural and functional resistance against varying physiological TT. Also correlation analysis revealed little correlation between species abundances or SCFA concentration and TT, indicating high resistance of SIHUMIx against varying physiological TT. Fingerprinting tools provided a fast and reproducible approach to assess microbial community dynamics and revealed slight changes in the community structure of SIHUMIx during varying TT. According to our Metaproteomics data these changes were associated with differences in membrane transport, glycan and protein metabolism and consequently thereby also with absolute SCFA and BCFA concentrations. B. thetaiotamicron was identified to be affected in terms of butyrate production, which has as important implication in relation to intestinal health. Despite the lihemitation for the relative low abundant species this study showed that the low complexity of SIHUMIx allowed describing the effect of physiological stressors on a species specific level.",,[flow cytometry][Bioreactor][SIHUMIx][metabolomics][short chain fatty acids][In vitro model][metaproteomics][intestinal microbiota],[31816881],"http://www.ncbi.nlm.nih.gov/pubmed/31816881, http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6956075",,,78,Florian Schattenberg,Florian Schattenberg,Florian Schattenberg,2017-08-01 - 2018-02-28,2017-08-01,2018-02-28,2019-06-01,2019-06-01,"Helmholtz-Centre for Environmental Research - UFZ,  Env. microbiology, Leipzig,  (Germany)","German Federal Environmental Foundation (DBU) for the support of Jannike Lea Krause.
                    
                    Stephanie Schäpe is grateful for support from a DFG623 grant within the Priority Program 1656
                    
                    Martin von Bergen acknowledges partial funding by DFG Priority Program 2002","Fluorescent beads FluoSpheres 1 µm (F8815 (350/440), lot no.: 69A1-1, Molecular Probes Eugene, Oregon, USA), FluoSpheres 2 µm (F-8827 (505/515), lot no.: 1717426, Molecular Probes Eugene, Oregon, USA) were used to align the instrument in the linear range and blue fluorescent beads Fluoresbrite BB Carboxylate microspheres 0.5 μm (360/407, lot no.: 552744, PolyScience, Niles, Illinois, USA), 1 μm (360/407, lot no.: 499344, PolyScience, Niles, Illinois, USA) were used to align the instrumental settings in the logarithmic range - daily.",2032|Following the community dynamics of SIHUMIx a new intestinal in vitro model for bioreactor use,,,28653.17,318.369,90,656.222,7.291,FCS3.0(90),MoFlo(90)
FR-FCM-Z24E,FR-FCM-Z24E,2190,CYTO2019 Workshop Small Particle Scatter & Fluorescence Calibration,Sample data for CYTO2019 Workshop,None,,[Small Particles][Scatter Calibration][Fluorescence Calibration][CYTO2019 Workshop],,,,,44,Vera Tang,Vera Tang,Vera Tang,2019-04-05 - 2019-06-23,2019-04-05,2019-06-23,2019-06-01,2019-06-01,"University of Ottawa,  Flow Cytometry Core Facility, Ottawa, ON (Canada)",Not disclosed,None,,,"Fortessa_QuantiBritePE_lot73318.fcs, Fortessa_QuantiBritePE_lot73318.fcs-(1)",519.496,34.633,15,31.749,2.117,FCS3.1(15),LSRFortessa(15)
FR-FCM-Z24F,FR-FCM-Z24F,2191,10 healthy PBMC for tSNE manuscript,10 healthy PBMCs were isolated from Genentech's sample for science program for use in mass cytometry (CyTOF) samples to evaluate conventional and t-SNE guided gating analyses.,None,"Samples included are: Non-downsampled files, downsampled files, and concatenated downsampled files.",[Immunophenotyping][human PBMCs][CyTOF][tSNE][high-dimensional cytometry],[31231371],"http://www.ncbi.nlm.nih.gov/pubmed/31231371, http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6560168",,,24,Amelia Au-Yeung,Amelia Au-Yeung,Amelia Au-Yeung,2019-06-11 -,2019-06-11,,2019-06-01,2019-07-01,"Genentech, SOUTH SAN FRANCISCO, CA (United States)",Genentech,None,,,,3038.321,144.682,21,656.864,31.279,FCS3.0(21),DVSSCIENCES-CYTOF-6.5.273(21)
